                                             0             1            2
0                                    JC3Z6006B  Red Hot Zone         0.00
1                                 4C3Z9E527ARM  Red Hot Zone    197155.15
2                                   HC3Z9B246B  Red Hot Zone    366393.16
3                                  DC3Z6007BRM  Red Hot Zone    503350.80
4                                  DC3Z6007ARM  Red Hot Zone    600971.30
5                                 8C3Z6006BARM  Red Hot Zone    689162.55
6                                 HL3Z6006DARM  Red Hot Zone    763272.02
7                                  DK4Z7000FRM  Red Hot Zone    832488.17
8                                  GK4Z6006CRM  Red Hot Zone    886335.79
9                                  GC3Z7000FRM  Red Hot Zone    934315.17
10                                   DG1Z2001F  Red Hot Zone    981234.23
11                               5C3Z9VE527BRM  Red Hot Zone   1027210.04
12                                   LC3Z6006B  Red Hot Zone   1072936.12
13                                  FC3Z9H529F  Red Hot Zone   1118659.31
14                               M2DZ5413000AA  Red Hot Zone   1163962.71
15                                 JL3Z7000CRM  Red Hot Zone   1208303.96
16                                  FC3Z9H529E  Red Hot Zone   1251402.66
17                                  EG1Z13411B  Red Hot Zone   1293012.27
18                                  HC3Z6K682A  Red Hot Zone   1334438.67
19                                 JC3Z7000ARM  Red Hot Zone   1373664.01
20                                   DS7Z6006T  Red Hot Zone   1412527.72
21                                  3C3Z6A810A  Red Hot Zone   1449659.03
22                                9C3Z7000JARM  Red Hot Zone   1485973.51
23                                   MU2Z6731C  Red Hot Zone   1521520.91
24                                9C2Z6006CARM  Red Hot Zone   1556392.78
25                                   HC3Z7000E  Red Hot Zone   1590910.08
26                                 GC3Z7000CRM  Red Hot Zone   1624612.83
27                                8C3Z9A543DRM  Red Hot Zone   1657441.63
28                                 CV6Z7000FRM  Red Hot Zone   1689623.83
29                                FL3Z1620124C  Red Hot Zone   1721635.37
30                                 LK4Z17757AB  Red Hot Zone   1753500.69
31                                    XT10QLVC  Red Hot Zone   1785279.16
32                                  BC3Z9N184B  Red Hot Zone   1816830.19
33                                BC3Z6006BARM  Red Hot Zone   1848262.37
34                                   J2GZ6006E  Red Hot Zone   1877920.17
35                                   JL3Z8475D  Red Hot Zone   1907431.46
36                                  BC3Z9D280B  Red Hot Zone   1936855.01
37                                1C3Z7V000ERM  Red Hot Zone   1966036.48
38                                  BC3Z6K682B  Red Hot Zone   1993863.63
39                                   KV6Z7000B  Red Hot Zone   2021585.48
40                                 ML3Z19D520C  Red Hot Zone   2048902.35
41                                * LC3Z9N184A  Red Hot Zone   2075701.94
42                                F81Z9A543CRM  Red Hot Zone   2102473.10
43                                5C3Z9A543ARM  Red Hot Zone   2129037.52
44                                FL3Z1620125C  Red Hot Zone   2154685.10
45                                  PC3Z6A785A  Red Hot Zone   2180006.83
46                                  ML3Z17757D  Red Hot Zone   2205271.35
47                                3C3Z9E527ARM  Red Hot Zone   2230461.74
48                                  BC3Z9H529F  Red Hot Zone   2255442.22
49                               ML3Z17757BPTM  Red Hot Zone   2279785.73
50                                 FC3Z7000SRM  Red Hot Zone   2303939.73
51                                  EU2Z2V026B  Red Hot Zone   2327590.53
52                                9C2Z6006BARM  Red Hot Zone   2351181.43
53                                  PU7Z9C968A  Red Hot Zone   2374701.73
54                                  BC3Z6K682C  Red Hot Zone   2398171.49
55                                 DL3Z6006ARM  Red Hot Zone   2421304.92
56                                   HC3Z6009A  Red Hot Zone   2444396.77
57                                 GB5Z7000YRM  Red Hot Zone   2467479.77
58                                   PK4Z6006B  Red Hot Zone   2490481.47
59                                5C3Z12B637BA  Red Hot Zone   2513293.17
60                                6C3Z6006CARM  Red Hot Zone   2535814.83
61                                  L1MZ2C026A  Red Hot Zone   2558301.83
62                                  LC3Z7000JB  Red Hot Zone   2580660.56
63                               FL3Z16502C22E  Red Hot Zone   2602967.46
64                                   HC3Z7000M  Red Hot Zone   2625102.22
65                                  FL3Z16612C  Red Hot Zone   2647105.07
66                                  FC3Z9A543A  Red Hot Zone   2668680.65
67                                   L1MZ1125C  Red Hot Zone   2689911.77
68                                  EC3Z9B246C  Red Hot Zone   2710901.59
69                                BC3Z6006EARM  Red Hot Zone   2731800.49
70                                8C3Z6K682ERM  Red Hot Zone   2752653.39
71                                    M9603B27  Red Hot Zone   2773198.99
72                                JL3Z17757ACP  Red Hot Zone   2793689.99
73                                 GK4Z7000FRM  Red Hot Zone   2814103.81
74                                1C3Z7V000FRM  Red Hot Zone   2834051.93
75                                  HC4Z6K682C  Red Hot Zone   2853889.78
76                                  LC3Z9B246B  Red Hot Zone   2873565.68
77                                8C3Z6009AARM  Red Hot Zone   2893238.68
78                                  BC3Z9H529E  Red Hot Zone   2912890.75
79                                8C3Z9H529ERM  Red Hot Zone   2932445.65
80                                    BXT65850  Red Hot Zone   2951797.88
81                                 BC3Z7000HRM   Orange Zone   2970833.01
82                                   ML3Z8475D   Orange Zone   2989710.96
83                                XC2Z6007AARM   Orange Zone   3008514.94
84                                 HU9Z6006ARM   Orange Zone   3027206.94
85                                 5L3Z6006BRM   Orange Zone   3045743.89
86                                  XO10W30DSD   Orange Zone   3064205.79
87                                FL3Z17906HCP   Orange Zone   3082655.91
88                                   JL3Z7000F   Orange Zone   3101061.24
89                                  MB3Z7A100A   Orange Zone   3119367.09
90                                   JL1Z8475C   Orange Zone   3137500.36
91                                   JC4Z6006B   Orange Zone   3155508.16
92                                   LR3Z6006B   Orange Zone   3173402.97
93                             LJ6Z17D957AAPTM   Orange Zone   3191293.52
94                                KC3Z6007AARM   Orange Zone   3209048.48
95                                 MB5Z13008AV   Orange Zone   3226741.48
96                           * LB5Z17D957SCPTM   Orange Zone   3244409.10
97                                3C3Z6007CARM   Orange Zone   3261907.04
98                                  BL3Z12029C   Orange Zone   3279258.04
99                                  BC3Z9G282E   Orange Zone   3296489.02
100                               6C3Z6007CARM   Orange Zone   3313571.44
101                                 HC3Z7A100A   Orange Zone   3330572.44
102                                  BC3Z8005K   Orange Zone   3347425.21
103                                  AA5Z6714A   Orange Zone   3364275.29
104                                 DC3Z6A785C   Orange Zone   3381066.24
105                               4C3Z6007BARM   Orange Zone   3397693.30
106                                4C3Z8A616AA   Orange Zone   3414129.88
107                                  LC3Z6006G   Orange Zone   3430411.12
108                                DA5Z7000ARM   Orange Zone   3446662.97
109                                 FC3Z9B246G   Orange Zone   3462599.50
110                               CK4Z9961711H   Orange Zone   3478445.50
111                                3C3Z9N184CB   Orange Zone   3494162.75
112                              5C3Z6K682CCRM   Orange Zone   3509829.32
113                            ML3Z17D957CAPTM   Orange Zone   3525428.49
114                               FL3Z17906BCP   Orange Zone   3541009.37
115                                HC3Z17906KA   Orange Zone   3556476.85
116                                 NL3Z13008H   Orange Zone   3571877.82
117                                MB5Z13008BD   Orange Zone   3587199.18
118                                DL8Z6006ARM   Orange Zone   3602479.87
119                               5C3Z6007GARM   Orange Zone   3617482.67
120                                GC3Z7000BRM   Orange Zone   3632433.67
121                               FL3Z1624630D   Orange Zone   3647085.57
122                                 EG1Z13410B   Orange Zone   3661581.43
123                                 BC3Z6F073D   Orange Zone   3676030.93
124                               5C3Z6007EARM   Orange Zone   3690473.95
125                                 L1MZ16138M   Orange Zone   3704859.95
126                                KV6Z7000ARM   Orange Zone   3719226.32
127                              JL3Z17757EACP   Orange Zone   3733575.27
128                                JC3Z7000DRM   Orange Zone   3747915.05
129                                 YC3Z9F838A   Orange Zone   3762250.92
130                                HC3Z9H307AR   Orange Zone   3776575.10
131                                 LK4Z5F250N   Orange Zone   3790804.28
132                               HC2Z6006ABRM   Orange Zone   3805012.68
133                                DG1Z1015ACP   Orange Zone   3819204.63
134                                 BC3Z6K775B   Orange Zone   3833336.07
135                               9L1Z6006AARM   Orange Zone   3847464.00
136                                  L1MZ2001G   Orange Zone   3861567.35
137                                 FC3Z6A785F   Orange Zone   3875631.64
138                                 FB5Z5G232B   Orange Zone   3889686.63
139                                FL3Z7000DRM   Orange Zone   3903706.51
140                                  JL1Z7000E   Orange Zone   3917623.33
141                                FL3Z16450FB   Orange Zone   3931451.47
142                               HC3Z17757ECP   Orange Zone   3945174.47
143                                  LU9Z7000A   Orange Zone   3958886.95
144                                  LK4Z7000C   Orange Zone   3972587.80
145                                  L1MZ2200F   Orange Zone   3986102.75
146                                 FC3Z9B246F   Orange Zone   3999528.67
147                                  BC3Z9229F   Orange Zone   4012951.47
148                                 BC3Z19860G   Orange Zone   4026305.04
149                              3C3Z9A543AARM   Orange Zone   4039617.26
150                                   XT12QULV   Orange Zone   4052661.17
151                                GC4Z6006BRM   Orange Zone   4065696.38
152                                 DG1Z3B436E   Orange Zone   4078548.38
153                                 FB5Z5G232A   Orange Zone   4091028.19
154                                  JL3Z7000E   Orange Zone   4103424.49
155                                JL3Z7000ERM   Orange Zone   4115758.34
156                                   MTURBO67   Orange Zone   4128068.24
157                                JC3Z7000HRM   Orange Zone   4140301.64
158                                 ML3Z6C525A   Orange Zone   4152374.59
159                            LB5Z17D957AAPTM   Orange Zone   4164438.04
